donation_id,sender_name_raw,sender_email_raw,amount,payment_method,platform,message_raw,label_multiclass,text_for_model
sample_benign_0000,Budi,user0000@example.com,10000,QRIS,Saweria,wkwk smngt bang wkwk nih haha! #100,benign,Budi wkwk smngt bang wkwk nih haha! #100 budi wkwk smngt bang wkwk nih hahai #100
sample_benign_0001,Nina,user0001@example.com,12500,E-Wallet,DemoPay,Bang jangan lupa makan untuk beli snack,benign,Nina Bang jangan lupa makan untuk beli snack nina bang jangan lupa makan untuk beli snack
sample_benign_0002,KopiSore,user0002@example.com,15000,Virtual Account,Kondomatur,gaskeun mabar kapan-kapan plis lanjut,benign,KopiSore gaskeun mabar kapan-kapan plis lanjut kopisore gaskeun mabar kapankapan plis lanjut
sample_benign_0003,Fajar,user0003@example.com,17500,Transfer,Trakteer,Kontennya rapi semoga harimu lancar,benign,Fajar Kontennya rapi semoga harimu lancar fajar kontennya rapi semoga harimu lancar
sample_benign_0004,Doni,user0004@example.com,20000,QRIS,Saweria,spill build item dong beneran bagus,benign,Doni spill build item dong beneran bagus doni spill build item dong beneran bagus
sample_benign_0005,NontonSantai,user0005@example.com,22500,E-Wallet,DemoPay,GG maennya bwt support live hari ini,benign,NontonSantai GG maennya bwt support live hari ini nontonsantai gg maennya bwt support live hari ini
sample_benign_0006,AnakRank,user0006@example.com,25000,Virtual Account,Kondomatur,๑۞๑ mantep bet clutch tadi no debat sih ๑۞๑,benign,AnakRank ๑۞๑ mantep bet clutch tadi no debat sih ๑۞๑ anakrank 11 mantep bet clutch tadi no debat sih 11
sample_benign_0007,Ayu,user0007@example.com,27500,Transfer,Trakteer,Thanks hiburannya lanjut konten positif,benign,Ayu Thanks hiburannya lanjut konten positif ayu thanks hiburannya lanjut konten positif
sample_benign_0008,ViewerBaik,user0008@example.com,30000,QRIS,Saweria,makasih udh nemenin malem ini deh mantap,benign,ViewerBaik makasih udh nemenin malem ini deh mantap viewerbaik makasih udh nemenin malem ini deh mantap
sample_benign_0009,RuangChat,user0009@example.com,32500,E-Wallet,DemoPay,Clip tadi lucu bet semoga target tercapai,benign,RuangChat Clip tadi lucu bet semoga target tercapai ruangchat clip tadi lucu bet semoga target tercapai
sample_benign_0010,Lia,user0010@example.com,35000,Virtual Account,Kondomatur,skuy ranked lagi random tapi lucu haha,benign,Lia skuy ranked lagi random tapi lucu haha lia skuy ranked lagi random tapi lucu haha
sample_benign_0011,Bagas,user0011@example.com,37500,Transfer,Trakteer,Support kecil dari gua request baca chat dong!,benign,Bagas Support kecil dari gua request baca chat dong! bagas support kecil dari gua request baca chat dongi
sample_benign_0012,PenontonSetia,user0012@example.com,40000,QRIS,Saweria,💙 gokil sih gameplay lu dong baca chat 💙,benign,PenontonSetia 💙 gokil sih gameplay lu dong baca chat 💙 penontonsetia gokil sih gameplay lu dong baca chat
sample_benign_0013,SahabatStream,user0013@example.com,42500,E-Wallet,DemoPay,Bantu sedikit ya untuk beli snack,benign,SahabatStream Bantu sedikit ya untuk beli snack sahabatstream bantu sedikit ya untuk beli snack
sample_benign_0014,Raka,user0014@example.com,45000,Virtual Account,Kondomatur,gw dukung terus bang ga boong,benign,Raka gw dukung terus bang ga boong raka gw dukung terus bang ga boong
sample_benign_0015,TemanLive,user0015@example.com,47500,Transfer,Trakteer,wkwk Request lagu dong semoga harimu lancar,benign,TemanLive wkwk Request lagu dong semoga harimu lancar temanlive wkwk request lagu dong semoga harimu lancar
sample_benign_0016,Dina,user0016@example.com,50000,QRIS,Saweria,carry terus bang otw nonton sampe selesai,benign,Dina carry terus bang otw nonton sampe selesai dina carry terus bang otw nonton sampe selesai
sample_benign_0017,Mira,user0017@example.com,52500,E-Wallet,DemoPay,Kamera sudah jelas bwt support live hari ini #117,benign,Mira Kamera sudah jelas bwt support live hari ini #117 mira kamera sudah jelas bwt support live hari ini #117
sample_benign_0018,Salsa,user0018@example.com,55000,Virtual Account,Kondomatur,✨ seru bet nontonnya lah kok bisa ✨,benign,Salsa ✨ seru bet nontonnya lah kok bisa ✨ salsa seru bet nontonnya lah kok bisa
sample_benign_0019,TimSupport,user0019@example.com,57500,Transfer,Trakteer,Gaskan sampai selesai lanjut konten positif,benign,TimSupport Gaskan sampai selesai lanjut konten positif timsupport gaskan sampai selesai lanjut konten positif
sample_benign_0020,Budi,user0020@example.com,60000,QRIS,Saweria,jgn lupa makan ya vibesnya enak bro haha,benign,Budi jgn lupa makan ya vibesnya enak bro haha budi jgn lupa makan ya vibesnya enak bro haha
sample_benign_0021,Nina,user0021@example.com,62500,E-Wallet,DemoPay,Gw suka vibes live ini semoga target tercapai,benign,Nina Gw suka vibes live ini semoga target tercapai nina gw suka vibes live ini semoga target tercapai
sample_benign_0022,KopiSore,user0022@example.com,65000,Virtual Account,Kondomatur,ciye menang terus aja dulu!,benign,KopiSore ciye menang terus aja dulu! kopisore ciye menang terus aja dului
sample_benign_0023,Fajar,user0023@example.com,67500,Transfer,Trakteer,Mode santai dulu request baca chat dong,benign,Fajar Mode santai dulu request baca chat dong fajar mode santai dulu request baca chat dong
sample_benign_0024,Doni,user0024@example.com,70000,QRIS,Saweria,santuy aja bang asli ini seru,benign,Doni santuy aja bang asli ini seru doni santuy aja bang asli ini seru
sample_benign_0025,NontonSantai,user0025@example.com,10000,E-Wallet,DemoPay,Mantap gameplay-nya untuk beli snack,benign,NontonSantai Mantap gameplay-nya untuk beli snack nontonsantai mantap gameplaynya untuk beli snack
sample_benign_0026,AnakRank,user0026@example.com,12500,Virtual Account,Kondomatur,gabut jadi nonton live ini cmiiw ya,benign,AnakRank gabut jadi nonton live ini cmiiw ya anakrank gabut jadi nonton live ini cmiiw ya
sample_benign_0027,Ayu,user0027@example.com,15000,Transfer,Trakteer,Good luck match berikutnya semoga harimu lancar,benign,Ayu Good luck match berikutnya semoga harimu lancar ayu good luck match berikutnya semoga harimu lancar
sample_benign_0028,ViewerBaik,user0028@example.com,17500,QRIS,Saweria,semangatt ngab ygy,benign,ViewerBaik semangatt ngab ygy viewerbaik semangatt ngab ygy
sample_benign_0029,RuangChat,user0029@example.com,20000,E-Wallet,DemoPay,Gua dukung terus bwt support live hari ini,benign,RuangChat Gua dukung terus bwt support live hari ini ruangchat gua dukung terus bwt support live hari ini
sample_benign_0030,Lia,user0030@example.com,22500,Virtual Account,Kondomatur,๑۞๑ wkwk sabi request lagu ga lowkey suka konten ini haha ๑۞๑,benign,Lia ๑۞๑ wkwk sabi request lagu ga lowkey suka konten ini haha ๑۞๑ lia 11 wkwk sabi request lagu ga lowkey suka konten ini haha 11
sample_benign_0031,Bagas,user0031@example.com,25000,Transfer,Trakteer,Buat beli kopi lanjut konten positif,benign,Bagas Buat beli kopi lanjut konten positif bagas buat beli kopi lanjut konten positif
